epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,429.041,0.74736,0.38734,0.98037,0.98102,0.99619,0.98699,0.79369,0.82326,0.31689,0.99598,0.000492625,0.000492625,0.000492625
43,439.278,0.72269,0.39083,0.96751,0.9856,0.99336,0.99018,0.79671,0.81815,0.32241,0.98904,0.00048025,0.00048025,0.00048025
44,449.604,0.71595,0.38398,0.97516,0.98372,0.99637,0.98673,0.79089,0.83903,0.31766,1.00038,0.000467875,0.000467875,0.000467875
45,459.9,0.73782,0.39556,0.98504,0.98365,0.99259,0.98821,0.7947,0.82668,0.31382,0.99606,0.0004555,0.0004555,0.0004555
46,470.129,0.7212,0.38123,0.97014,0.98588,0.99289,0.99122,0.79377,0.83196,0.3087,0.99223,0.000443125,0.000443125,0.000443125
47,480.342,0.72524,0.38214,0.96882,0.98518,0.99477,0.98906,0.80075,0.8253,0.31731,0.99505,0.00043075,0.00043075,0.00043075
48,490.586,0.72714,0.38896,0.97127,0.98393,0.99407,0.986,0.7919,0.81942,0.31697,0.98463,0.000418375,0.000418375,0.000418375
49,500.846,0.69534,0.36574,0.95207,0.98302,0.99635,0.99094,0.80308,0.83659,0.31829,0.99502,0.000406,0.000406,0.000406
50,511.107,0.70855,0.36981,0.96889,0.9838,0.99602,0.98925,0.80966,0.82011,0.31428,0.99078,0.000393625,0.000393625,0.000393625
51,521.398,0.69534,0.37161,0.95979,0.98581,0.99514,0.9886,0.79372,0.82624,0.30347,0.99293,0.00038125,0.00038125,0.00038125
52,531.653,0.68572,0.36346,0.95192,0.98477,0.99594,0.98854,0.80436,0.80778,0.30154,0.98296,0.000368875,0.000368875,0.000368875
53,541.872,0.68065,0.36747,0.9423,0.98547,0.99594,0.98862,0.8057,0.80244,0.30667,0.98644,0.0003565,0.0003565,0.0003565
54,552.087,0.67229,0.34733,0.95259,0.98677,0.99501,0.9883,0.80614,0.81215,0.29648,0.98522,0.000344125,0.000344125,0.000344125
55,562.337,0.67496,0.35228,0.95383,0.98676,0.99555,0.98848,0.80098,0.8237,0.30492,0.99695,0.00033175,0.00033175,0.00033175
56,572.572,0.65614,0.34154,0.94615,0.9839,0.99387,0.9905,0.80825,0.80276,0.30127,0.98758,0.000319375,0.000319375,0.000319375
57,582.805,0.67959,0.35057,0.95634,0.98428,0.99637,0.98745,0.80703,0.79646,0.29299,0.98371,0.000307,0.000307,0.000307
58,593.074,0.67269,0.36021,0.95647,0.98589,0.99491,0.98897,0.80223,0.81337,0.2995,0.98836,0.000294625,0.000294625,0.000294625
59,603.331,0.6483,0.33754,0.93915,0.98785,0.99343,0.98891,0.80568,0.82365,0.30109,0.98955,0.00028225,0.00028225,0.00028225
60,613.591,0.64506,0.33173,0.94125,0.98292,0.99488,0.98844,0.80514,0.80479,0.29211,0.9929,0.000269875,0.000269875,0.000269875
61,623.861,0.6506,0.33571,0.94252,0.98648,0.9937,0.98892,0.80465,0.80538,0.2974,0.99232,0.0002575,0.0002575,0.0002575
62,634.077,0.64154,0.33711,0.94072,0.9866,0.99435,0.98992,0.80681,0.80112,0.28988,0.98659,0.000245125,0.000245125,0.000245125
63,644.325,0.6561,0.33476,0.96394,0.98395,0.99508,0.98846,0.80656,0.82054,0.2927,0.99432,0.00023275,0.00023275,0.00023275
64,654.644,0.64045,0.33428,0.94645,0.98765,0.99417,0.98824,0.80605,0.80422,0.29221,0.98989,0.000220375,0.000220375,0.000220375
65,665.006,0.61094,0.31922,0.93192,0.98691,0.99417,0.98708,0.80393,0.81831,0.29703,0.99377,0.000208,0.000208,0.000208
66,675.73,0.61886,0.31835,0.9292,0.98378,0.99315,0.99021,0.80889,0.8122,0.29416,0.98878,0.000195625,0.000195625,0.000195625
67,686.156,0.61139,0.32016,0.92906,0.98636,0.9959,0.98878,0.80953,0.81349,0.29253,0.9965,0.00018325,0.00018325,0.00018325
68,696.44,0.60613,0.31862,0.93438,0.98781,0.99417,0.9889,0.80785,0.83169,0.29374,1.00059,0.000170875,0.000170875,0.000170875
